Country,Region,City,Name,Street,Zip,Latitude,Longitude
China,Zhengzhou,Zhengzhou,IKEA Zhengzhou,No. 2 North Third Ring Road,NaN,34.78106805433464,113.7027783024882
China,Qiaokou,Wuhan,IKEA Wuhan,No.2 Zhangbihu Road,NaN,30.58798447366342,114.2733203566219
China,Yueli,Changsha,IKEA Changsha,No. 253 Yanghu Road,NaN,30.6186705735345,114.1670435397429
China,NaN,Nanjing,IKEA Nanjing,No.99 Ming Shi road,NaN,31.99383988458771,118.79733755080164
China,Gangzha,Nantong,IKEA Nantong,No.66 Huanghai Road,NaN,32.10183021613172,121.07344491599986
China,Gaoxin,Suzhou,IKEA Suzhou ,No. 17 Chengji Road,NaN,31.372788886402464,120.52816762649822
China,Xishan,Wuxi,IKEA Wuxi,No.1 Tuanjie Road,NaN,31.606285302762352,120.39552434928272
China,Economic Development,Xuzhou,IKEA Xuzhou,"No.128, He Ping Road",NaN,34.2672506645553,117.36398732103292
China,Xigang,Dalian,IKEA Dalian,"No.51, Haida South Street",NaN,38.93893357956276,121.60498935505724
China,Tiexi,Shenyang,IKEA Shenyang,"No 20, Xinghua Bei Street",NaN,41.80714391494242,123.3799059961246
China,NaN,Xi'an,IKEA Xi'an,3rd West Ring Road,NaN,34.28628916464427,108.84591085356888
China,Laoshan,Qingdao,IKEA Qingdao,NO.15 Shenzhen Road,NaN,36.11290325165839,120.3702909294132
China,Baoshan,Shanghai Baoshan,IKEA Shanghai Baoshan,NO.1818 Hutai Road,NaN,31.301630061661253,121.41739314605508
China,Xuhui,Shanghai,IKEA Shanghai Xuhui,No.126 CaoXi road,NaN,31.1906785315828,121.43661922103225
China,NaN,Shanghai,IKEA Shanghai Beicai,No. 550 Lin Yu road,NaN,31.170117653232445,121.56090206284892
China,Jingan,Shanghai,IKEA Shanghai Jing'an,NO.1728 West Nanjing Road,NaN,31.2942351053322,121.41720167592116
China,Chenghua,Chengdu,IKEA Chengdu Chenghua,No. 9 Jiang Jun Bei street Rong Du Road,NaN,30.6146691093584,104.0589546475698
